
# Downloaded from https://www.nutritionvalue.org 
# Zwieback
# Serving size 100g
Nutrient, Amount, Unit
"Calories", 426.00, kcal
"Fat", 9.70, g
"Protein", 10.10, g
"Carbohydrate", 74.20, g
"Hexadecenoic acid", 0.129, g
"Tridecanoic acid", 0.000, g
"Pentadecenoic acid", 0.000, g
"Tocotrienol, alpha", 0.02, mg
"Tocotrienol, beta", 0.07, mg
"Tocotrienol, gamma", 0.00, mg
"Tocotrienol, delta", 0.01, mg
"Tocopherol, beta", 0.05, mg
"Tocopherol, gamma", 0.31, mg
"Tocopherol, delta", 0.01, mg
"Eicosapentaenoic n-3 acid", 0.000, g
"Tetracosenoic cis acid", 0.000, g
"Cis,cis-eicosadienoic n-6 acid", 0.000, g
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Sugars", 12.50, g
"Vitamin B6", 0.082, mg
"Folate", 87.00, mcg
"Pantothenic acid", 0.537, mg
"Vitamin B12", 0.00, mcg
"Fiber", 2.5, g
"Retinol", 15.00, mcg
"Vitamin A", 58.00, IU
"Fluoride, F", 0.1, mcg
"Copper, Cu", 0.145, mg
"Selenium, Se", 28.7, mcg
"Octadecadienoic acid", 2.007, g
"Choline", 10.7, mg
"Zinc, Zn", 0.54, mg
"Calcium, Ca", 20.00, mg
"Iron, Fe", 0.60, mg
"Magnesium, Mg", 14.00, mg
"Phosphorus, P", 55.00, mg
"Potassium, K", 305.00, mg
"Sodium, Na", 227.00, mg
"Monounsaturated fatty acids", 4.244, g
"Polyunsaturated fatty acids", 2.073, g
"Folate, DFE", 134.00, mcg
"Folate, food", 20.00, mcg
"Vitamin K", 0.9, mcg
"Folic acid", 67.00, mcg
"Docosahexaenoic n-3 acid", 0.000, g
"Eicosatetraenoic acid", 0.001, g
"Octadecatetraenoic acid", 0.000, g
"Lutein + zeaxanthin", 16.00, mcg
"Tetradecenoic acid", 0.000, g
"Docosanoic acid", 0.047, g
"Cryptoxanthin, beta", 1.00, mcg
"Lycopene", 0.00, mcg
"Eicosenoic acid", 0.012, g
"Water", 4.50, g
"Niacin", 1.319, mg
"Riboflavin", 0.239, mg
"Tetracosanoic acid", 0.000, g
"Thiamin", 0.208, mg
"Pentadecanoic acid", 0.000, g
"Heptadecanoic acid", 0.005, g
"Docosenoic acid", 0.000, g
"Docosapentaenoic n-3 acid", 0.000, g
"Vitamin C", 5.3, mg
"Alcohol, ethyl", 0.0, g
"Fatty acids, total trans", 0.012, g
"Butanoic acid", 0.100, g
"Saturated fatty acids", 2.525, g
"Cholesterol", 8.00, mg
"Octanoic acid", 0.035, g
"Hexanoic acid", 0.059, g
"Carotene, alpha", 0.00, mcg
"Vitamin E", 2.44, mg
"Vitamin A, RAE", 16.00, mcg
"Carotene, beta", 4.00, mcg
"Vitamin D", 0.00, IU
"Vitamin D (D2 + D3)", 0.0, mcg
"Octadecatrienoic acid", 0.065, g
"Ash", 1.50, g
"Tetradecanoic acid", 0.314, g
"Hexadecanoic acid", 1.194, g
"Decanoic acid", 0.077, g
"Dodecanoic acid", 0.088, g
"Octadecenoic acid", 4.104, g
"Octadecanoic acid", 0.590, g
"Eicosanoic acid", 0.017, g
"Eicosadienoic acid", 0.000, g
"Heptadecenoic acid", 0.000, g
"Tocopherol, alpha", 2.44, mg
# Downloaded from https://www.nutritionvalue.org 
