
# Downloaded from https://www.nutritionvalue.org 
# Nuts, almonds
# Serving size 100g
Nutrient, Amount, Unit
"Calories", 579.00, kcal
"Fat", 49.93, g
"Protein", 21.15, g
"Carbohydrate", 21.55, g
"Maltose", 0.04, g
"Fructose", 0.11, g
"Lactose", 0.00, g
"Sucrose", 3.95, g
"Glucose (dextrose)", 0.17, g
"Trans-octadecadienoic acid", 0.003, g
"Trans-octadecenoic acid", 0.000, g
"Trans-hexadecenoic acid", 0.012, g
"Hexadecenoic acid", 0.239, g
"Fatty acids, total trans-monoenoic", 0.012, g
"Tridecanoic acid", 0.000, g
"Pentadecenoic acid", 0.000, g
"Fatty acids, total trans-polyenoic", 0.003, g
"Niacin", 3.618, mg
"Riboflavin", 1.138, mg
"Thiamin", 0.205, mg
"Tocopherol, beta", 0.23, mg
"Tocopherol, gamma", 0.64, mg
"Tocopherol, delta", 0.07, mg
"Eicosapentaenoic n-3 acid", 0.000, g
"Galactose", 0.07, g
"Cis-octadecenoic acid", 31.294, g
"Cis,cis-octadecadienoic n-6 acid", 12.320, g
"Octadecadienoic CLAs acid", 0.002, g
"Tetracosenoic cis acid", 0.000, g
"Cis,cis-eicosadienoic n-6 acid", 0.002, g
"Cis-hexadecenoic acid", 0.227, g
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Sugars", 4.35, g
"Vitamin B6", 0.137, mg
"Folate", 44.00, mcg
"Pantothenic acid", 0.471, mg
"Vitamin B12", 0.00, mcg
"Fiber", 12.5, g
"Retinol", 0.00, mcg
"Vitamin A", 2.00, IU
"Copper, Cu", 1.031, mg
"Selenium, Se", 4.1, mcg
"Octadecadienoic acid", 12.324, g
"Manganese, Mn", 2.179, mg
"Dihydrophylloquinone", 0.0, mcg
"Tetradecanoic acid", 0.003, g
"Choline", 52.1, mg
"Zinc, Zn", 3.12, mg
"Calcium, Ca", 269.00, mg
"Iron, Fe", 3.71, mg
"Magnesium, Mg", 270.00, mg
"Phosphorus, P", 481.00, mg
"Potassium, K", 733.00, mg
"Sodium, Na", 1.00, mg
"Beta-sitosterol", 130.00, mg
"Serine", 0.912, g
"Monounsaturated fatty acids", 31.551, g
"Polyunsaturated fatty acids", 12.329, g
"Arginine", 2.465, g
"Valine", 0.855, g
"Alanine", 0.999, g
"Histidine", 0.539, g
"Glutamic acid", 6.206, g
"Aspartic acid", 2.639, g
"Proline", 0.969, g
"Glycine", 1.429, g
"Docosahexaenoic n-3 acid", 0.000, g
"Eicosatetraenoic acid", 0.000, g
"Octadecatetraenoic acid", 0.000, g
"Lutein + zeaxanthin", 1.00, mcg
"Tetradecenoic acid", 0.000, g
"Docosanoic acid", 0.001, g
"Cryptoxanthin, beta", 0.00, mcg
"Lycopene", 0.00, mcg
"Eicosenoic acid", 0.005, g
"Betaine", 0.5, mg
"Water", 4.41, g
"Cis,cis,cis-octadecatrienoic n-3 acid", 0.003, g
"Tetracosanoic acid", 0.000, g
"Pentadecanoic acid", 0.000, g
"Heptadecanoic acid", 0.004, g
"Phenylalanine", 1.132, g
"Tyrosine", 0.450, g
"Methionine", 0.157, g
"Cystine", 0.215, g
"Leucine", 1.473, g
"Lysine", 0.568, g
"Threonine", 0.601, g
"Isoleucine", 0.751, g
"Tryptophan", 0.211, g
"Docosenoic acid", 0.000, g
"Docosapentaenoic n-3 acid", 0.000, g
"Vitamin C", 0.0, mg
"Stigmasterol", 4.00, mg
"Campesterol", 5.00, mg
"Alcohol, ethyl", 0.0, g
"Fatty acids, total trans", 0.015, g
"Butanoic acid", 0.000, g
"Saturated fatty acids", 3.802, g
"Cholesterol", 0.00, mg
"Octanoic acid", 0.000, g
"Hexanoic acid", 0.000, g
"Carotene, alpha", 0.00, mcg
"Vitamin E", 25.63, mg
"Vitamin A, RAE", 0.00, mcg
"Carotene, beta", 1.00, mcg
"Vitamin D", 0.00, IU
"Vitamin D (D2 + D3)", 0.0, mcg
"Octadecatrienoic acid", 0.003, g
"Ash", 2.97, g
"Starch", 0.72, g
"Hexadecanoic acid", 3.083, g
"Decanoic acid", 0.000, g
"Dodecanoic acid", 0.000, g
"Octadecenoic acid", 31.294, g
"Octadecanoic acid", 0.704, g
"Eicosanoic acid", 0.007, g
"Folate, DFE", 44.00, mcg
"Folate, food", 44.00, mcg
"Eicosadienoic acid", 0.000, g
"Vitamin K", 0.0, mcg
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.000, g
"Heptadecenoic acid", 0.013, g
"Folic acid", 0.00, mcg
"Tocopherol, alpha", 25.63, mg
# Downloaded from https://www.nutritionvalue.org 
